bujur,lintang,tanggal,fase,sumber
109.294803,-7.426172,6/11/2024,2,Drone (rice field)
109.294847,-7.426192,6/11/2024,2,Drone (rice field)
109.352415,-7.436177,6/11/2024,1,Drone (rice field)
109.295109,-7.425689,6/11/2024,2,Drone (rice field)
109.352346,-7.434823,6/11/2024,1,Drone (rice field)
109.295111,-7.427049,6/11/2024,2,Drone (rice field)
109.294836,-7.425913,6/11/2024,2,Drone (rice field)
109.352207,-7.434702,6/11/2024,1,Drone (rice field)
109.294653,-7.426052,6/11/2024,2,Drone (rice field)
109.29507,-7.427128,6/11/2024,2,Drone (rice field)
109.29481,-7.42608,6/11/2024,2,Drone (rice field)
109.295142,-7.426975,6/11/2024,2,Drone (rice field)
109.295205,-7.425711,6/11/2024,2,Drone (rice field)
109.295706,-7.42708,6/11/2024,2,Drone (rice field)
109.35223,-7.434601,6/11/2024,1,Drone (rice field)
109.353143,-7.435017,6/11/2024,1,Drone (rice field)
109.352652,-7.434387,6/11/2024,1,Drone (rice field)
109.448687,-7.595082,6/12/2024,2,Drone (rice field)
109.295258,-7.425722,6/11/2024,2,Drone (rice field)
109.295269,-7.425727,6/11/2024,2,Drone (rice field)
109.295297,-7.425654,6/11/2024,2,Drone (rice field)
109.353351,-7.435012,6/11/2024,1,Drone (rice field)
109.295256,-7.426174,6/11/2024,2,Drone (rice field)
109.448709,-7.594694,6/12/2024,2,Drone (rice field)
109.353097,-7.435301,6/11/2024,1,Drone (rice field)
109.295814,-7.426756,6/11/2024,2,Drone (rice field)
109.295794,-7.426839,6/11/2024,2,Drone (rice field)
109.352182,-7.435218,6/11/2024,1,Drone (rice field)
109.352454,-7.436327,6/11/2024,1,Drone (rice field)
109.352437,-7.436269,6/11/2024,1,Drone (rice field)
109.35214,-7.435693,6/11/2024,1,Drone (rice field)
109.448767,-7.594898,6/12/2024,2,Drone (rice field)
109.353148,-7.435107,6/11/2024,1,Drone (rice field)
109.353375,-7.4351,6/11/2024,1,Drone (rice field)
