no,survei,bujur,lintang,tanggal,fase
103272,3,108.892183,-6.948961,2024-04-06,1
103276,3,109.053417,-6.9815,2024-04-06,1
103291,3,109.488056,-7.716167,2024-04-06,1
103758,3,109.488105,-7.715786,2024-04-06,1
103760,3,109.489012,-7.715789,2024-04-06,1
103761,3,109.487653,-7.715332,2024-04-06,1
103762,3,109.488107,-7.715334,2024-04-06,1
103765,3,109.487655,-7.71488,2024-04-06,1
103766,3,109.488108,-7.714882,2024-04-06,1
103872,3,109.052593,-6.982177,2024-04-06,1
103873,3,109.053045,-6.982179,2024-04-06,1
103874,3,109.052595,-6.981725,2024-04-06,1
103875,3,109.053047,-6.981727,2024-04-06,1
106468,3,109.48898,-7.716486,2024-04-06,1
106470,3,109.488243,-7.716461,2024-04-06,1
106472,3,109.487982,-7.716373,2024-04-06,1
106483,3,109.488794,-7.716119,2024-04-06,1
106493,3,109.488121,-7.715929,2024-04-06,1
106495,3,109.488644,-7.715902,2024-04-06,1
106498,3,109.488996,-7.715832,2024-04-06,1
106500,3,109.488145,-7.715814,2024-04-06,1
106501,3,109.488984,-7.715749,2024-04-06,1
106503,3,109.487682,-7.715721,2024-04-06,1
106507,3,109.487677,-7.715582,2024-04-06,1
106508,3,109.487994,-7.715562,2024-04-06,1
106510,3,109.489253,-7.715473,2024-04-06,1
106513,3,109.489245,-7.715322,2024-04-06,1
106516,3,109.488168,-7.715376,2024-04-06,1
106517,3,109.487725,-7.715351,2024-04-06,1
106521,3,109.489216,-7.715111,2024-04-06,1
106523,3,109.48878,-7.715103,2024-04-06,1
106524,3,109.48919,-7.714993,2024-04-06,1
106525,3,109.487886,-7.715006,2024-04-06,1
106526,3,109.489155,-7.714878,2024-04-06,1
106527,3,109.487612,-7.715017,2024-04-06,1
106529,3,109.487768,-7.714809,2024-04-06,1
106530,3,109.48811,-7.714876,2024-04-06,1
106531,3,109.487885,-7.714778,2024-04-06,1
106532,3,109.488043,-7.714741,2024-04-06,1
107467,3,109.053327,-6.982333,2024-04-06,1
107469,3,109.052833,-6.982201,2024-04-06,1
107470,3,109.052552,-6.982182,2024-04-06,1
107472,3,109.052943,-6.982091,2024-04-06,1
107473,3,109.052706,-6.982075,2024-04-06,1
107474,3,109.052557,-6.982064,2024-04-06,1
107477,3,109.05298,-6.981822,2024-04-06,1
107478,3,109.052577,-6.981797,2024-04-06,1
107480,3,109.052992,-6.981708,2024-04-06,1
107481,3,109.052827,-6.981759,2024-04-06,1
107482,3,109.052709,-6.981763,2024-04-06,1
107483,3,109.052603,-6.981682,2024-04-06,1
107484,3,109.053753,-6.981651,2024-04-06,1
107485,3,109.053524,-6.981637,2024-04-06,1
107486,3,109.053269,-6.981621,2024-04-06,1
107487,3,109.052995,-6.981604,2024-04-06,1
107488,3,109.052783,-6.98159,2024-04-06,1
107489,3,109.05262,-6.98158,2024-04-06,1
107490,3,109.053756,-6.98156,2024-04-06,1
107491,3,109.053529,-6.981546,2024-04-06,1
107492,3,109.053273,-6.98153,2024-04-06,1
107493,3,109.052999,-6.981511,2024-04-06,1
107494,3,109.052789,-6.981497,2024-04-06,1
107495,3,109.052623,-6.981486,2024-04-06,1
103273,3,108.891528,-6.922556,2024-04-06,2
103277,3,109.053413,-6.9813,2024-04-06,2
103281,3,109.411611,-7.426361,2024-04-06,2
103288,3,109.152944,-7.613611,2024-04-06,2
103757,3,109.487652,-7.715784,2024-04-06,2
103793,3,109.151793,-7.615013,2024-04-06,2
103796,3,109.152701,-7.614565,2024-04-06,2
103852,3,109.411658,-7.426606,2024-04-06,2
103853,3,109.412111,-7.426607,2024-04-06,2
103861,3,109.411659,-7.426154,2024-04-06,2
103862,3,109.412112,-7.426155,2024-04-06,2
103876,3,109.0535,-6.981729,2024-04-06,2
103877,3,109.052597,-6.981273,2024-04-06,2
103879,3,109.053502,-6.981277,2024-04-06,2
103880,3,109.052599,-6.980821,2024-04-06,2
103881,3,109.053051,-6.980823,2024-04-06,2
103882,3,109.053503,-6.980825,2024-04-06,2
103899,3,108.890901,-6.922722,2024-04-06,2
103900,3,108.891353,-6.922724,2024-04-06,2
103901,3,108.891806,-6.922726,2024-04-06,2
103902,3,108.890903,-6.92227,2024-04-06,2
103903,3,108.891355,-6.922272,2024-04-06,2
103904,3,108.891808,-6.922274,2024-04-06,2
106497,3,109.487735,-7.715842,2024-04-06,2
106696,3,109.151684,-7.61491,2024-04-06,2
106697,3,109.152833,-7.614844,2024-04-06,2
106700,3,109.152468,-7.614836,2024-04-06,2
106701,3,109.152587,-7.614829,2024-04-06,2
106705,3,109.152698,-7.614536,2024-04-06,2
106707,3,109.152813,-7.614543,2024-04-06,2
106708,3,109.152566,-7.614523,2024-04-06,2
106711,3,109.151644,-7.614228,2024-04-06,2
106715,3,109.152548,-7.614261,2024-04-06,2
107126,3,109.411941,-7.426895,2024-04-06,2
107132,3,109.411867,-7.426886,2024-04-06,2
107135,3,109.411796,-7.426877,2024-04-06,2
107140,3,109.411668,-7.426859,2024-04-06,2
107145,3,109.411527,-7.426841,2024-04-06,2
