no,survei,bujur,lintang,tanggal,fase
103281,3,109.411611,-7.426361,2024-04-06,2
103852,3,109.411658,-7.426606,2024-04-06,2
103853,3,109.412111,-7.426607,2024-04-06,2
103861,3,109.411659,-7.426154,2024-04-06,2
103862,3,109.412112,-7.426155,2024-04-06,2
107126,3,109.411941,-7.426895,2024-04-06,2
107132,3,109.411867,-7.426886,2024-04-06,2
107135,3,109.411796,-7.426877,2024-04-06,2
107140,3,109.411668,-7.426859,2024-04-06,2
107145,3,109.411527,-7.426841,2024-04-06,2
107147,3,109.411431,-7.42683,2024-04-06,2
107148,3,109.411378,-7.426822,2024-04-06,2
107156,3,109.412286,-7.426848,2024-04-06,2
107157,3,109.412224,-7.426842,2024-04-06,2
107161,3,109.412145,-7.42683,2024-04-06,2
107164,3,109.412067,-7.426829,2024-04-06,2
107166,3,109.412014,-7.426814,2024-04-06,2
107169,3,109.411952,-7.426805,2024-04-06,2
107175,3,109.411866,-7.426787,2024-04-06,2
107176,3,109.411772,-7.426775,2024-04-06,2
107181,3,109.411666,-7.426754,2024-04-06,2
107188,3,109.411543,-7.426735,2024-04-06,2
107190,3,109.411449,-7.426719,2024-04-06,2
107193,3,109.411391,-7.426705,2024-04-06,2
107214,3,109.412317,-7.426627,2024-04-06,2
107217,3,109.412258,-7.426623,2024-04-06,2
107221,3,109.412179,-7.426613,2024-04-06,2
107225,3,109.412102,-7.426593,2024-04-06,2
107227,3,109.412022,-7.426591,2024-04-06,2
107229,3,109.41192,-7.426562,2024-04-06,2
107231,3,109.411817,-7.426555,2024-04-06,2
107237,3,109.411701,-7.426534,2024-04-06,2
107243,3,109.411577,-7.426517,2024-04-06,2
107248,3,109.411487,-7.426503,2024-04-06,2
107252,3,109.411421,-7.426478,2024-04-06,2
107276,3,109.412335,-7.426351,2024-04-06,2
107280,3,109.411608,-7.426306,2024-04-06,2
107281,3,109.412236,-7.426337,2024-04-06,2
107282,3,109.411412,-7.42624,2024-04-06,2
107287,3,109.412156,-7.426324,2024-04-06,2
107291,3,109.412074,-7.426318,2024-04-06,2
107296,3,109.411978,-7.426302,2024-04-06,2
107304,3,109.411867,-7.426285,2024-04-06,2
107328,3,109.41163,-7.426173,2024-04-06,2
107329,3,109.412371,-7.426153,2024-04-06,2
107330,3,109.411426,-7.426133,2024-04-06,2
107333,3,109.412267,-7.426138,2024-04-06,2
107336,3,109.412182,-7.426129,2024-04-06,2
107337,3,109.412097,-7.426118,2024-04-06,2
107339,3,109.412006,-7.426108,2024-04-06,2
107343,3,109.411796,-7.426078,2024-04-06,2
107344,3,109.412391,-7.426045,2024-04-06,2
107346,3,109.412269,-7.426031,2024-04-06,2
107349,3,109.412164,-7.426021,2024-04-06,2
107350,3,109.411546,-7.426041,2024-04-06,2
107351,3,109.411441,-7.426021,2024-04-06,2
107352,3,109.412065,-7.426011,2024-04-06,2
107356,3,109.411876,-7.42599,2024-04-06,2
107360,3,109.411588,-7.425957,2024-04-06,2
98752,3,109.411611,-7.426361,2024-04-18,2
99323,3,109.411658,-7.426606,2024-04-18,2
99324,3,109.412111,-7.426607,2024-04-18,2
99332,3,109.411659,-7.426154,2024-04-18,2
99333,3,109.412112,-7.426155,2024-04-18,2
102597,3,109.411941,-7.426895,2024-04-18,2
102603,3,109.411867,-7.426886,2024-04-18,2
102606,3,109.411796,-7.426877,2024-04-18,2
102611,3,109.411668,-7.426859,2024-04-18,2
102616,3,109.411527,-7.426841,2024-04-18,2
