lokasi,region,utm,bujur,lintang,tanggal,fase,sumber
10_Lemahmukti,Karawang,32748,107.463959,-6.260439,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.464081,-6.260284,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.463608,-6.260762,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.461742,-6.261511,3/18/2024,1,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.463209,-6.260423,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.461745,-6.261454,3/18/2024,1,Drone (rice field)
4_Rengasdengklok03,Karawang,32748,107.347952,-6.150237,3/16/2024,2,Drone (50x50)
4_Rengasdengklok03,Karawang,32748,107.348304,-6.149165,3/16/2024,2,Drone (50x50)
4_Rengasdengklok03,Karawang,32748,107.348031,-6.148752,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.464278,-6.261881,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.463608,-6.261039,3/18/2024,1,Drone (rice field)
4_Rengasdengklok03,Karawang,32748,107.349051,-6.149273,3/16/2024,2,Drone (50x50)
4_Rengasdengklok03,Karawang,32748,107.348589,-6.149647,3/16/2024,1,Drone (50x50)
2_Rengasdengklok01,Karawang,32748,107.339343,-6.148883,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.462644,-6.261055,3/18/2024,1,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.464289,-6.260304,3/18/2024,1,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.340122,-6.148209,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.464246,-6.260791,3/18/2024,1,Drone (rice field)
4_Rengasdengklok03,Karawang,32748,107.348794,-6.149948,3/16/2024,1,Field Survey
4_Rengasdengklok03,Karawang,32748,107.348812,-6.150045,3/16/2024,1,Drone (50x50)
10 Lemahmukti,Karawang,32748,107.4588,-6.260475,3/18/2024,6,Drone (50x50)
4_Rengasdengklok03,Karawang,32748,107.348338,-6.149046,3/16/2024,2,Field Survey
10_Lemahmukti,Karawang,32748,107.463998,-6.261049,3/18/2024,1,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.46252,-6.261669,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.462476,-6.261354,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.463803,-6.261977,3/18/2024,1,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.338148,-6.148008,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.462343,-6.261039,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.463565,-6.261759,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.462465,-6.26103,3/18/2024,1,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.340206,-6.148178,3/16/2024,2,Field Survey
10_Lemahmukti,Karawang,32748,107.464448,-6.260595,3/18/2024,1,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.464464,-6.260593,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.464031,-6.261849,3/18/2024,1,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.339759,-6.149084,3/16/2024,2,Field Survey
10_Lemahmukti,Karawang,32748,107.462767,-6.261304,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.461753,-6.260838,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.463547,-6.261051,3/18/2024,1,Drone (50x50)
13_Jatibarang1,Cirebon,32749,108.324748,-6.401688,3/19/2024,2,Drone (rice field)
12_Jatibarang2,Cirebon,32749,108.323012,-6.404416,3/19/2024,2,Drone (rice field)
4_Rengasdengklok03,Karawang,32748,107.347977,-6.149918,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.463093,-6.260601,3/18/2024,1,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.463837,-6.261812,3/18/2024,1,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.339886,-6.147872,3/16/2024,2,Drone (50x50)
12_Jatibarang2,Cirebon,32749,108.322828,-6.404283,3/19/2024,2,Drone (rice field)
4_Rengasdengklok03,Karawang,32748,107.3489,-6.149702,3/16/2024,1,Drone (50x50)
2_Rengasdengklok01,Karawang,32748,107.339307,-6.149086,3/16/2024,2,Field Survey
2_Rengasdengklok01,Karawang,32748,107.339325,-6.149078,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.463865,-6.260261,3/18/2024,1,Drone (rice field)
4_Rengasdengklok03,Karawang,32748,107.347891,-6.149952,3/16/2024,2,Field Survey
10_Lemahmukti,Karawang,32748,107.461738,-6.260607,3/18/2024,1,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.461745,-6.260572,3/18/2024,1,Drone (rice field)
4_Rengasdengklok03,Karawang,32748,107.347893,-6.150404,3/16/2024,2,Field Survey
10_Lemahmukti,Karawang,32748,107.463095,-6.261053,3/18/2024,1,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.463208,-6.261019,3/18/2024,1,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.339355,-6.148639,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.464,-6.261501,3/18/2024,1,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.464097,-6.261365,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.461997,-6.260784,3/18/2024,1,Drone (rice field)
13_Jatibarang1,Cirebon,32749,108.323996,-6.401257,3/19/2024,2,Drone (rice field)
13_Jatibarang1,Cirebon,32749,108.324036,-6.40122,3/19/2024,2,Drone (rice field)
10 Lemahmukti,Karawang,32748,107.461297,-6.261269,3/18/2024,6,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.46447,-6.261435,3/18/2024,1,Drone (rice field)
9_Lemahmulya,Karawang,32748,107.402469,-6.332817,3/18/2024,4,Drone (rice field)
19_DongkalSukasari,Cirebon,32749,108.270483,-6.383102,3/19/2024,2,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.462968,-6.260232,3/18/2024,1,Drone (rice field)
2_Rengasdengklok01,Karawang,32748,107.337191,-6.148452,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.464003,-6.261952,3/18/2024,1,Drone (50x50)
2_Rengasdengklok01,Karawang,32748,107.338652,-6.148226,3/16/2024,2,Drone (50x50)
2_Rengasdengklok01,Karawang,32748,107.339367,-6.148395,3/16/2024,2,Drone (50x50)
4_Rengasdengklok03,Karawang,32748,107.349454,-6.150089,3/16/2024,1,Drone (50x50)
4_Rengasdengklok03,Karawang,32748,107.347986,-6.149111,3/16/2024,2,Drone (50x50)
2_Rengasdengklok01,Karawang,32748,107.340155,-6.147902,3/16/2024,2,Drone (50x50)
2_Rengasdengklok01,Karawang,32748,107.338675,-6.147804,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.464135,-6.260532,3/18/2024,1,Drone (rice field)
4_Rengasdengklok03,Karawang,32748,107.348014,-6.14955,3/16/2024,2,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.462908,-6.26045,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.462194,-6.261509,3/18/2024,1,Drone (50x50)
10_Lemahmukti,Karawang,32748,107.462212,-6.261441,3/18/2024,1,Drone (rice field)
10_Lemahmukti,Karawang,32748,107.464069,-6.261577,3/18/2024,1,Drone (rice field)
