lokasi,region,utm,bujur,lintang,tanggal,fase,sumber
,clu4,32748,107.668464,-6.327472,2024-03-20,4,"Drone (combined survey, Java-clean)"
6 Ciranggon1,clu4,32748,107.362278,-6.292864,2024-03-18,2,"Drone (combined survey, Java-clean)"
7 Ciranggon2,clu4,32748,107.361825,-6.291192,2024-03-18,4,"Drone (combined survey, Java-clean)"
5 Rengasdengklok4,clu4,32748,107.343944,-6.211694,2024-03-16,4,"Drone (combined survey, Java-clean)"
17 Sukamandi2,clu4,32748,107.611556,-6.361722,2024-03-20,2,"Drone (combined survey, Java-clean)"
17 Sukamandi2,clu4,32748,107.612194,-6.360528,2024-03-20,2,"Drone (combined survey, Java-clean)"
14 Jatimulya,clu4,32748,107.833692,-6.378833,2024-03-20,2,"Drone (combined survey, Java-clean)"
14 Jatimulya,clu4,32748,107.832556,-6.380528,2024-03-20,2,"Drone (combined survey, Java-clean)"
14 Jatimulya,clu4,32748,107.832917,-6.378083,2024-03-20,2,"Drone (combined survey, Java-clean)"
,clu4,32748,107.793892,-6.367856,2024-03-20,3,"Drone (combined survey, Java-clean)"
,clu4,32748,107.7935,-6.366889,2024-03-20,4,"Drone (combined survey, Java-clean)"
,clu4,32748,107.793694,-6.367594,2024-03-20,4,"Drone (combined survey, Java-clean)"
2 Rengasdengklok1,clu4,32748,107.337861,-6.149389,2024-03-16,2,"Drone (combined survey, Java-clean)"
4 Rengasdengklok3,clu4,32748,107.349583,-6.150242,2024-03-16,1,"Drone (combined survey, Java-clean)"
20 Kroya1,clu1,32749,108.075806,-6.482167,2024-03-19,4,"Drone (combined survey, Java-clean)"
20 Kroya1,clu1,32749,108.076083,-6.4825,2024-03-19,3,"Drone (combined survey, Java-clean)"
20 Kroya1,clu1,32749,108.076861,-6.481639,2024-03-19,4,"Drone (combined survey, Java-clean)"
18 Kiarasari,clu1,32748,107.884292,-6.436278,2024-03-20,4,"Drone (combined survey, Java-clean)"
18 Kiarasari,clu1,32748,107.884178,-6.435675,2024-03-20,4,"Drone (combined survey, Java-clean)"
12 Jatibarang2,clu1,32749,108.323417,-6.404075,2024-03-19,2,"Drone (combined survey, Java-clean)"
12 Jatibarang2,clu1,32749,108.321917,-6.404944,2024-03-19,2,"Drone (combined survey, Java-clean)"
12 Jatibarang2,clu1,32749,108.323917,-6.403639,2024-03-19,2,"Drone (combined survey, Java-clean)"
