point,x,y,id,Tgl_Panen,Tgl_Tanam,Periode_Tn,Tahun_Tn,f1_genang,f1_lembap,f1_tgl,f2_tumbuh,f2_genang,f2_lembap,f2_tgl,f3_tumbuh,f3_genang,f3_lembap,f3_tgl,f4_tumbuh,f4_genang,f4_lembap,f4_tgl,f5_tumbuh,f5_genang,f5_lembap,f5_tgl,f6_genang,f6_tgl,f6_veg,NO_SWAH
0,415821.9455938322,9133401.286936864,4,0.0,2025-12-27,31,2025,Tinggi,Merata,2025-12-20,Baik,Sedang,Merata,2026-01-05,Baik,Rendah,Merata,2026-01-25,Baik,Tinggi,Merata,2026-02-15,Baik,Sedang,Merata,2026-02-27,,,,21
1,415832.43022379326,9133415.698051626,5,0.0,2025-12-23,30,2025,Tinggi,Merata,2025-12-17,Baik,Sedang,Merata,2025-12-24,Baik,Sedang,Merata,2026-01-25,Baik,Tinggi,Merata,2026-02-15,Baik,Tinggi,Merata,2026-02-27,,2026-03-23,Sisa Tunggul,20
2,415839.84274079016,9133426.301407807,6,0.0,2025-12-12,29,2025,Tinggi,Merata,2025-12-05,Baik,Tinggi,Merata,2025-12-24,Baik,Sedang,Tdk Merata,2026-01-21,Baik,Tinggi,Merata,2026-01-24,Baik,Tinggi,Merata,2026-02-15,,2026-03-25,Sisa Tunggul,19
3,415877.2519778191,9133519.63231992,20,0.0,2026-01-15,2,2026,Sedang,Merata,2026-01-01,Sedang,Sedang,Merata,2026-01-25,Baik,Tinggi,Merata,2026-02-15,Baik,Sedang,Merata,2026-02-15,Baik,Sedang,Merata,2026-03-05,,2026-03-25,Sisa Tunggul,5
4,415745.1090915946,9133346.38769737,21,0.0,2026-01-07,1,2026,Tinggi,Merata,2025-12-28,Baik,Sedang,Tdk Merata,2026-01-21,Baik,Sedang,Merata,2026-02-15,Baik,Tinggi,Merata,2026-02-25,Baik,Sedang,Merata,2026-03-05,,,,25
5,415749.9108837191,9133355.78856187,22,0.0,2025-12-13,29,2025,Tinggi,Merata,2025-12-05,Baik,Sedang,Merata,2025-12-24,Baik,Tinggi,Merata,2026-01-21,Baik,Tinggi,Merata,2026-01-24,Baik,Tinggi,Merata,2026-02-15,,2026-03-25,Sisa Tunggul,26
6,415762.6872694171,9133390.512921812,26,0.0,2025-12-27,31,2025,Tinggi,Merata,2025-12-18,Baik,Sedang,Merata,2026-01-05,Baik,Rendah,Merata,2026-01-25,Baik,Tinggi,Tdk Merata,2026-02-15,Baik,Sedang,Merata,2026-01-27,,,,31
7,415779.75100938353,9133417.839500107,30,0.0,2025-12-13,29,2025,Tinggi,Merata,2025-12-07,Baik,Sedang,Merata,2025-12-24,Baik,Sedang,Merata,2026-01-21,Baik,Sedang,Merata,2026-01-24,Baik,Tinggi,Merata,2026-02-15,,,,35
8,415802.5314947231,9133438.285220942,34,0.0,2025-12-13,29,2025,Tinggi,Merata,2025-12-07,Baik,Sedang,Merata,2025-12-24,Baik,Sedang,Merata,2026-01-21,Baik,TInggi,Merata,2026-01-24,Baik,Tinggi,Merata,2026-02-15,,,,39
9,415804.67051835306,9133480.817067973,41,0.0,2025-12-27,31,2025,Tinggi,Merata,2025-12-18,Baik,Tinggi,Merata,2026-01-05,Baik,Sedang,Merata,2026-01-24,Baik,TInggi,Merata,2026-02-15,Baik,Sedang,Merata,2026-02-27,,,,"46,98-99"
10,415787.18405002047,9133514.4196422,47,0.0,2025-12-29,31,2025,Tinggi,Merata,2025-12-18,Baik,Sedang,Merata,2026-01-05,Baik,Sedang,Merata,2026-01-25,Baik,Sedang,Tdk Merata,2026-02-15,Baik,Sedang,Merata,2026-02-27,,2026-03-25,Sisa Tunggul,"52,90-91"
11,415856.55124143977,9133553.137180122,76,0.0,2026-01-08,1,2026,Tinggi,Merata,2025-12-29,Baik,Sedang,Merata,2026-01-25,Baik,Tinggi,Merata,2026-02-15,Baik,Tinggi,Merata,2026-02-25,Baik,Sedang,Merata,2026-03-05,,,,1-4
