point,x,y,SOS_doy,EOS_doy,LOS_steps,peak_NDVI,POS_doy,trough_NDVI,amplitude,seasonal_integral,greenup_rate,senescence_rate
0,415821.9455938322,9133401.286936864,125.0,334.0,209.0,0.34339204,286.0,0.13891102,0.16839506,1.2078408,0.00084901345,0.0017975047
1,415832.43022379326,9133415.698051626,101.0,334.0,233.0,0.37574735,250.0,0.18980552,0.18455063,1.1581496,0.0012292578,0.002213593
2,415839.84274079016,9133426.301407807,29.0,89.0,60.0,0.4265,41.0,0.10954051,0.24835084,0.8376016,0.011917792,0.005514476
3,415877.2519778191,9133519.63231992,125.0,262.0,137.0,0.49916714,250.0,0.08388502,0.41334933,0.9826582,0.003291332,0.021960592
4,415745.1090915946,9133346.38769737,113.0,322.0,209.0,0.49907032,149.0,0.13468546,0.3273778,1.9199862,0.010121802,0.0016784437
5,415749.9108837191,9133355.78856187,113.0,322.0,209.0,0.49274588,149.0,0.16158783,0.2735042,1.4555411,0.009198834,0.0012476901
6,415762.6872694171,9133390.512921812,113.0,161.0,48.0,0.43126795,149.0,0.18434736,0.23183335,0.48703685,0.0068589053,0.018062176
7,415779.75100938353,9133417.839500107,125.0,322.0,197.0,0.51549697,149.0,0.15899476,0.3097701,1.6971122,0.010957311,0.0015204507
8,415802.5314947231,9133438.285220942,17.0,89.0,72.0,0.46285924,77.0,0.1546202,0.25961477,0.8592289,0.0031937738,0.021553949
9,415804.67051835306,9133480.817067973,29.0,101.0,72.0,0.45316643,77.0,0.15002005,0.26346698,0.9028123,0.0035211009,0.009537883
10,415787.18405002047,9133514.4196422,41.0,113.0,72.0,0.4373149,77.0,0.15130273,0.27182382,0.86503124,0.0041519147,0.007944782
11,415856.55124143977,9133553.137180122,29.0,346.0,317.0,0.4523165,334.0,0.17008777,0.21062556,2.174135,0.00092534005,0.011585201
12,415796.8238107496,9133606.790226942,41.0,137.0,96.0,0.53381217,77.0,0.21981962,0.30275622,1.140981,0.005427269,0.005233209
13,415888.92017210444,9133509.126210177,17.0,346.0,329.0,0.5823585,310.0,0.15173498,0.39376557,4.0110855,0.0011208205,0.007234024
14,415871.5772795819,9133471.688821081,113.0,346.0,233.0,0.6368433,310.0,0.04735169,0.55655646,4.0266066,0.0025431383,0.012026887
15,415808.23859854246,9133382.448484626,65.0,161.0,96.0,0.47520754,77.0,0.28814235,0.18078792,0.4759482,0.010209446,0.0020223185
16,415752.9751366154,9133370.833984345,113.0,0.0,48.0,0.46662384,358.0,0.23731017,0.114656836,0.0,0.0009359742,
17,415773.0947675342,9133406.736866722,125.0,161.0,36.0,0.46246782,149.0,0.18953316,0.23563328,0.40248862,0.0077934363,0.016527658
18,415786.0968833244,9133426.770096306,17.0,89.0,72.0,0.48429507,77.0,0.13117991,0.3126822,1.051199,0.004537488,0.02539066
19,415808.3047490244,9133460.639262948,113.0,298.0,185.0,0.38100928,250.0,0.24026659,0.11266783,0.4568119,0.0010273189,0.0017623542
20,415808.70109873055,9133502.391487842,113.0,0.0,48.0,0.39547926,358.0,0.24425685,0.075611204,0.0,0.0006172343,
21,415805.76282324025,9133536.276680754,41.0,101.0,60.0,0.41581324,77.0,0.18788183,0.18868187,0.60519385,0.0028378319,0.008004523
22,415784.5109959243,9133550.124215126,17.0,137.0,120.0,0.41330048,77.0,0.1944406,0.19989945,1.2507352,0.0026506681,0.0030156502
23,415793.22390361695,9133570.249001598,17.0,334.0,317.0,0.49602592,77.0,0.20332116,0.26460865,2.0445492,0.0034198388,0.0008145574
24,415740.1923666874,9133612.588492846,41.0,334.0,293.0,0.52553755,77.0,0.18191993,0.30040228,2.4206657,0.0049894312,0.0010007274
25,415782.3334241352,9133588.837394685,17.0,137.0,120.0,0.5049436,77.0,0.23066403,0.2462495,0.9134546,0.003670337,0.00363699
26,415755.825133002,9133533.722648706,29.0,310.0,281.0,0.44155633,77.0,0.16280487,0.24930336,1.8412217,0.0033953257,0.0007350308
27,415762.2424355617,9133465.476034557,113.0,274.0,161.0,0.3773357,250.0,0.24154374,0.10270569,0.3700787,0.0009441641,0.0028362807
28,415761.8232892852,9133523.249034608,17.0,113.0,96.0,0.33045185,77.0,0.18166181,0.12519757,0.62783945,0.0014169974,0.0028223644
29,415739.65137325163,9133539.501241423,17.0,113.0,96.0,0.41650888,77.0,0.17742223,0.21740572,0.62837774,0.0038474374,0.0054367995
30,415789.7569821614,9133519.81311671,41.0,113.0,72.0,0.43266934,77.0,0.15428793,0.2630738,0.8525611,0.004022863,0.007732817
