point,n_seasons,x,y,mean_peak_NDVI,mean_LOS_days,mean_amplitude
0,2,415821.9455938322,9133401.286936864,0.277,72.0,0.138
1,3,415832.43022379326,9133415.698051626,0.31633333333333336,52.0,0.12566666666666668
2,4,415839.84274079016,9133426.301407808,0.3805,48.0,0.19625
3,4,415877.2519778191,9133519.63231992,0.40325,60.0,0.2435
4,4,415745.1090915946,9133346.38769737,0.46675,57.0,0.30725
5,3,415749.9108837191,9133355.78856187,0.447,76.0,0.23666666666666666
6,3,415762.6872694171,9133390.512921812,0.336,68.0,0.12733333333333333
7,4,415779.75100938353,9133417.839500109,0.36524999999999996,54.0,0.14325000000000002
8,4,415802.5314947231,9133438.285220942,0.40175,54.0,0.17925
9,3,415804.67051835306,9133480.817067971,0.401,72.0,0.19866666666666666
10,2,415787.18405002047,9133514.4196422,0.39449999999999996,102.0,0.22899999999999998
11,3,415856.55124143977,9133553.137180122,0.39166666666666666,36.0,0.16766666666666666
12,5,415796.8238107496,9133606.790226942,0.41079999999999994,50.4,0.15460000000000002
13,3,415888.9201721045,9133509.126210175,0.45566666666666666,72.0,0.22566666666666668
14,4,415871.5772795819,9133471.68882108,0.507,54.0,0.314
15,2,415808.23859854246,9133382.448484626,0.401,60.0,0.0985
16,4,415752.9751366154,9133370.833984343,0.36,54.0,0.10650000000000001
17,3,415773.0947675342,9133406.736866722,0.3566666666666667,48.0,0.08933333333333333
18,5,415786.0968833244,9133426.770096306,0.409,45.6,0.22080000000000002
19,2,415808.3047490244,9133460.639262948,0.364,90.0,0.1105
20,3,415808.70109873055,9133502.391487842,0.379,68.0,0.108
21,4,415805.76282324025,9133536.276680754,0.3845,60.0,0.17225000000000001
22,2,415784.5109959243,9133550.124215126,0.35,78.0,0.1555
23,2,415793.22390361695,9133570.249001598,0.3175,84.0,0.11349999999999999
24,6,415740.1923666874,9133612.588492846,0.39033333333333337,38.0,0.1415
25,2,415782.3334241352,9133588.837394685,0.4165,84.0,0.1855
26,2,415755.825133002,9133533.722648706,0.3695,84.0,0.20650000000000002
27,2,415762.2424355617,9133465.476034556,0.3575,102.0,0.1155
28,1,415761.8232892852,9133523.249034608,0.315,120.0,0.134
29,2,415739.6513732516,9133539.501241423,0.33899999999999997,114.0,0.161
30,2,415789.7569821614,9133519.81311671,0.3085,102.0,0.1385
