point,x,y,season,SOS,POS,EOS,SOS_doy,POS_doy,EOS_doy,peak_NDVI,trough_NDVI,amplitude,LOS_days,greenup_days
0,415821.9455938322,9133401.286936864,1,2025-11-30,2025-12-12,2026-01-05,334,346,5,0.267,0.139,0.128,36,12
0,415821.9455938322,9133401.286936864,2,2026-01-05,2026-03-18,2026-04-23,5,77,113,0.287,0.179,0.148,108,72
1,415832.43022379326,9133415.698051626,1,2025-11-06,2025-11-18,2025-11-30,310,322,334,0.319,0.19,0.129,24,12
1,415832.43022379326,9133415.698051626,2,2025-11-30,2025-12-12,2026-01-05,334,346,5,0.301,0.209,0.111,36,12
1,415832.43022379326,9133415.698051626,3,2026-01-05,2026-03-18,2026-04-11,5,77,101,0.329,0.193,0.137,96,72
2,415839.84274079016,9133426.301407808,1,2025-10-01,2025-10-13,2025-11-06,274,286,310,0.353,0.181,0.171,36,12
2,415839.84274079016,9133426.301407808,2,2025-11-06,2026-01-17,2026-01-29,310,17,29,0.378,0.283,0.197,84,72
2,415839.84274079016,9133426.301407808,3,2026-01-29,2026-02-10,2026-02-22,29,41,53,0.426,0.265,0.162,24,12
2,415839.84274079016,9133426.301407808,4,2026-02-22,2026-03-18,2026-04-11,53,77,101,0.365,0.11,0.255,48,24
3,415877.2519778191,9133519.63231992,1,2025-09-07,2025-09-07,2025-09-19,250,250,262,0.499,0.236,0.264,12,0
3,415877.2519778191,9133519.63231992,2,2025-09-19,2025-10-25,2025-11-18,262,298,322,0.41,0.315,0.174,60,36
3,415877.2519778191,9133519.63231992,3,2025-11-18,2025-12-12,2025-12-24,322,346,358,0.399,0.084,0.315,36,24
3,415877.2519778191,9133519.63231992,4,2025-12-24,2026-03-18,2026-05-05,358,77,125,0.305,0.088,0.221,132,84
4,415745.1090915946,9133346.38769737,1,2025-09-07,2025-10-13,2025-11-18,250,286,322,0.495,0.209,0.286,72,36
4,415745.1090915946,9133346.38769737,2,2025-11-18,2025-12-24,2026-01-05,322,358,5,0.414,0.147,0.267,48,36
4,415745.1090915946,9133346.38769737,3,2026-01-05,2026-02-10,2026-02-22,5,41,53,0.465,0.312,0.318,48,36
4,415745.1090915946,9133346.38769737,4,2026-02-22,2026-03-18,2026-04-23,53,77,113,0.493,0.135,0.358,60,24
5,415749.9108837191,9133355.78856187,1,2025-09-07,2025-10-13,2025-11-18,250,286,322,0.477,0.277,0.2,72,36
5,415749.9108837191,9133355.78856187,2,2025-11-18,2025-12-24,2026-01-05,322,358,5,0.399,0.193,0.206,48,36
5,415749.9108837191,9133355.78856187,3,2026-01-05,2026-03-18,2026-04-23,5,77,113,0.465,0.162,0.304,108,72
6,415762.6872694171,9133390.512921812,1,2025-10-01,2025-12-12,2025-12-24,274,346,358,0.364,0.221,0.143,84,72
6,415762.6872694171,9133390.512921812,2,2025-12-24,2026-01-29,2026-02-22,358,29,53,0.374,0.227,0.153,60,36
6,415762.6872694171,9133390.512921812,3,2026-02-22,2026-04-11,2026-04-23,53,101,113,0.27,0.184,0.086,60,48
7,415779.75100938353,9133417.839500109,1,2025-09-19,2025-09-19,2025-10-01,262,262,274,0.38,0.298,0.082,12,0
7,415779.75100938353,9133417.839500109,2,2025-10-01,2025-11-06,2025-11-18,274,310,322,0.441,0.252,0.189,48,36
7,415779.75100938353,9133417.839500109,3,2025-11-18,2025-12-24,2026-01-05,322,358,5,0.348,0.179,0.169,48,36
7,415779.75100938353,9133417.839500109,4,2026-01-05,2026-04-11,2026-04-23,5,101,113,0.292,0.159,0.133,108,96
8,415802.5314947231,9133438.285220942,1,2025-09-19,2025-10-13,2025-11-30,262,286,334,0.419,0.261,0.158,72,24
8,415802.5314947231,9133438.285220942,2,2025-11-30,2025-12-12,2025-12-24,334,346,358,0.345,0.237,0.108,24,12
8,415802.5314947231,9133438.285220942,3,2025-12-24,2026-02-10,2026-03-06,358,41,65,0.38,0.286,0.143,72,48
8,415802.5314947231,9133438.285220942,4,2026-03-06,2026-03-18,2026-04-23,65,77,113,0.463,0.155,0.308,48,12
9,415804.67051835306,9133480.817067971,1,2025-09-19,2025-10-13,2025-10-25,262,286,298,0.376,0.229,0.148,36,24
9,415804.67051835306,9133480.817067971,2,2025-10-25,2025-12-24,2026-01-05,298,358,5,0.374,0.229,0.145,72,60
9,415804.67051835306,9133480.817067971,3,2026-01-05,2026-03-18,2026-04-23,5,77,113,0.453,0.15,0.303,108,72
10,415787.18405002047,9133514.4196422,1,2025-10-01,2025-12-24,2026-01-05,274,358,5,0.352,0.18,0.172,96,84
10,415787.18405002047,9133514.4196422,2,2026-01-05,2026-03-18,2026-04-23,5,77,113,0.437,0.151,0.286,108,72
11,415856.55124143977,9133553.137180122,1,2025-10-01,2025-10-13,2025-10-25,274,286,298,0.425,0.33,0.094,24,12
11,415856.55124143977,9133553.137180122,2,2025-12-12,2025-12-24,2026-01-29,346,358,29,0.332,0.17,0.162,48,12
11,415856.55124143977,9133553.137180122,3,2026-01-29,2026-02-10,2026-03-06,29,41,65,0.418,0.328,0.247,36,12
12,415796.8238107496,9133606.790226942,1,2025-09-07,2025-09-07,2025-09-19,250,250,262,0.429,0.289,0.14,12,0
12,415796.8238107496,9133606.790226942,2,2025-09-19,2025-10-01,2025-10-13,262,274,286,0.436,0.296,0.147,24,12
12,415796.8238107496,9133606.790226942,3,2025-10-13,2026-01-17,2026-01-29,286,17,29,0.477,0.242,0.235,108,96
12,415796.8238107496,9133606.790226942,4,2026-01-29,2026-04-11,2026-04-23,29,101,113,0.37,0.254,0.128,84,72
12,415796.8238107496,9133606.790226942,5,2026-04-23,2026-05-05,2026-05-17,113,125,137,0.342,0.22,0.123,24,12
13,415888.9201721045,9133509.126210175,1,2025-09-07,2025-09-07,2025-09-19,250,250,262,0.488,0.311,0.176,12,0
13,415888.9201721045,9133509.126210175,2,2025-09-19,2025-11-30,2025-12-24,262,334,358,0.422,0.225,0.196,96,72
13,415888.9201721045,9133509.126210175,3,2025-12-24,2026-03-30,2026-04-11,358,89,101,0.457,0.152,0.305,108,96
14,415871.5772795819,9133471.68882108,1,2025-09-07,2025-09-07,2025-09-19,250,250,262,0.506,0.372,0.134,12,0
14,415871.5772795819,9133471.68882108,2,2025-09-19,2025-11-06,2025-11-18,262,310,322,0.637,0.305,0.332,60,48
14,415871.5772795819,9133471.68882108,3,2025-11-18,2025-11-30,2025-12-24,322,334,358,0.468,0.047,0.42,36,12
14,415871.5772795819,9133471.68882108,4,2025-12-24,2026-03-30,2026-04-11,358,89,101,0.417,0.113,0.37,108,96
15,415808.23859854246,9133382.448484626,1,2025-09-07,2025-09-07,2025-10-01,250,250,274,0.413,0.304,0.109,24,0
15,415808.23859854246,9133382.448484626,2,2025-10-01,2025-11-18,2026-01-05,274,322,5,0.389,0.301,0.088,96,48
16,415752.9751366154,9133370.833984343,1,2025-09-19,2025-10-01,2025-10-25,262,274,298,0.354,0.253,0.101,36,12
16,415752.9751366154,9133370.833984343,2,2025-10-25,2026-01-17,2026-01-29,298,17,29,0.354,0.269,0.1,96,84
16,415752.9751366154,9133370.833984343,3,2026-01-29,2026-02-22,2026-03-06,29,53,65,0.407,0.307,0.138,36,24
16,415752.9751366154,9133370.833984343,4,2026-03-06,2026-03-30,2026-04-23,65,89,113,0.325,0.237,0.087,48,24
17,415773.0947675342,9133406.736866722,1,2025-09-07,2025-09-07,2025-10-01,250,250,274,0.41,0.316,0.094,24,0
17,415773.0947675342,9133406.736866722,2,2025-10-01,2025-11-30,2026-01-05,274,334,5,0.382,0.297,0.085,96,60
