point,x,y,date,S2ndvi_fused,VV_fused,VH_fused
0,415821.9455938322,9133401.286936864,2025-09-07,0.3383454416343491,-9.193765669416063,-14.215201003915315
0,415821.9455938322,9133401.286936864,2025-09-19,0.2871546849575158,-9.411819117972744,-14.571343210540133
0,415821.9455938322,9133401.286936864,2025-10-01,0.2973133486521242,-9.421256957509758,-14.491566435564913
0,415821.9455938322,9133401.286936864,2025-10-13,0.35656270269022966,-8.979749086770097,-13.322130725275324
0,415821.9455938322,9133401.286936864,2025-10-25,0.3269819929917197,-8.431981527281508,-13.09918012487239
0,415821.9455938322,9133401.286936864,2025-11-06,0.3361067284656543,-8.895479085433251,-13.117800623987618
0,415821.9455938322,9133401.286936864,2025-11-18,0.3563008417097846,-8.399105645794641,-11.902694280554822
0,415821.9455938322,9133401.286936864,2025-11-30,0.28818262764499136,-7.807390239643704,-13.722988759275077
0,415821.9455938322,9133401.286936864,2025-12-12,0.3024196468804213,-8.497160150572157,-13.734595811788875
0,415821.9455938322,9133401.286936864,2025-12-24,0.2733543151964643,-10.059155046279894,-15.26186941784597
0,415821.9455938322,9133401.286936864,2026-01-05,0.22128744783063503,-10.59039825218307,-16.220488000274102
0,415821.9455938322,9133401.286936864,2026-01-17,0.3010302082717206,-9.472686446162925,-14.278014914166205
0,415821.9455938322,9133401.286936864,2026-01-29,0.2722861122666566,-9.984114391674954,-15.24883841892482
0,415821.9455938322,9133401.286936864,2026-02-10,0.30177603230420724,-10.16292037063246,-14.620180629039156
0,415821.9455938322,9133401.286936864,2026-02-22,0.31301124075099507,-8.602714247766519,-13.53039108400705
0,415821.9455938322,9133401.286936864,2026-03-06,0.26216065453707255,-10.04676242752461,-15.529462145893813
0,415821.9455938322,9133401.286936864,2026-03-18,0.3259497178290325,-10.05280617531017,-14.796961682363055
0,415821.9455938322,9133401.286936864,2026-03-30,0.285558450012633,-7.864277314755375,-13.245312111392138
0,415821.9455938322,9133401.286936864,2026-04-11,0.27036396829194,-8.485940164372462,-14.024227032042276
0,415821.9455938322,9133401.286936864,2026-04-23,0.24641998790855507,-9.863405753516185,-14.945194507073944
0,415821.9455938322,9133401.286936864,2026-05-05,0.26691735713058795,-9.367858826513697,-14.974472287563982
0,415821.9455938322,9133401.286936864,2026-05-17,0.30444510447256723,-7.79405032276699,-13.448957404796126
0,415821.9455938322,9133401.286936864,2026-05-29,0.334252253420437,-8.274086912429901,-13.02146873387673
0,415821.9455938322,9133401.286936864,2026-06-10,0.28616297173682875,-10.120529031353762,-14.980312511927204
1,415832.43022379326,9133415.698051626,2025-09-07,0.3634575155418102,-10.009070278257795,-14.699379188498945
1,415832.43022379326,9133415.698051626,2025-09-19,0.31627214194773373,-9.65606273076909,-14.488533587332622
1,415832.43022379326,9133415.698051626,2025-10-01,0.3327110523558281,-9.54684506171643,-14.348425504086403
1,415832.43022379326,9133415.698051626,2025-10-13,0.362115225372945,-8.965103756347819,-13.638469660570987
1,415832.43022379326,9133415.698051626,2025-10-25,0.3118061321550853,-8.2070413214368,-13.1668451068001
1,415832.43022379326,9133415.698051626,2025-11-06,0.2976235283086127,-8.848745896980907,-14.030978125005985
1,415832.43022379326,9133415.698051626,2025-11-18,0.35064464496815756,-7.834603263315032,-11.607065044905681
1,415832.43022379326,9133415.698051626,2025-11-30,0.20626113254033962,-7.109613830959352,-13.956493452387402
1,415832.43022379326,9133415.698051626,2025-12-12,0.3065878206732523,-8.877847605353768,-13.902334309463019
1,415832.43022379326,9133415.698051626,2025-12-24,0.23653066597032357,-9.888873086564876,-16.097282535618056
1,415832.43022379326,9133415.698051626,2026-01-05,0.23798821213348342,-10.76978666411399,-16.356036032052657
1,415832.43022379326,9133415.698051626,2026-01-17,0.322709080771058,-9.593994259980505,-14.308594076087264
1,415832.43022379326,9133415.698051626,2026-01-29,0.28851840686729596,-9.902524539190306,-15.202222999979698
