point,x,y,SOS_doy,EOS_doy,LOS_steps,peak_NDVI,POS_doy,trough_NDVI,amplitude,seasonal_integral,greenup_rate,senescence_rate
0,494225.6593214362,9241670.999743782,150.0,306.0,156.0,0.42406628,258.0,-0.15160866,0.48485628,3.848786,0.0047630095,0.008209117
1,455167.5968810374,9243942.653784472,186.0,348.0,162.0,0.35037622,306.0,0.2455773,0.083817184,0.73524827,0.0008733243,6.8034446e-05
2,465117.75854116137,9230123.430505203,30.0,210.0,180.0,0.35738337,42.0,-0.017736642,0.23523268,2.064663,0.007945445,0.0022328573
3,459380.00640956056,9243357.550972825,102.0,0.0,204.0,0.44420856,306.0,0.1650923,0.25482944,0.0,0.0011000218,
4,468694.02243723854,9226492.483638326,102.0,336.0,234.0,0.5131692,162.0,-0.078756645,0.5912601,7.248645,0.0071547846,0.002725606
5,472837.84180351644,9238889.234850045,30.0,78.0,48.0,0.39898536,42.0,0.110821575,0.2012927,0.43020967,0.009535134,0.00800455
6,484989.4192938779,9234572.458350735,30.0,102.0,72.0,0.4363634,66.0,0.05731163,0.26548654,0.6661776,0.0042200377,0.010529216
7,483035.49770913634,9238218.94872739,30.0,324.0,294.0,0.3101365,42.0,0.21245727,0.07587926,0.85363096,0.004506608,0.00028311228
8,448005.46233327535,9233052.609055817,78.0,348.0,270.0,0.021555346,312.0,-0.012644933,0.03289484,0.22461222,0.00013499743,0.0008303906
9,458665.09748864605,9231806.415939407,0.0,78.0,78.0,0.41969177,6.0,0.027454687,0.19611853,0.31658146,,0.0054477374
10,463248.1225192194,9243008.41215943,102.0,294.0,192.0,0.41486442,186.0,0.09547157,0.28853878,3.0052621,0.003802296,0.002286855
11,484752.2070677343,9231711.73012449,30.0,210.0,180.0,0.5662886,42.0,0.49485537,0.05316055,0.29428884,0.0029073257,0.0004249316
12,488119.23000643763,9234164.897670409,114.0,222.0,108.0,0.31943026,210.0,0.20972547,0.10336506,0.57581615,0.0009876346,0.009067092
13,455052.89583226095,9244529.368597005,0.0,174.0,174.0,0.2748072,6.0,-0.09082813,0.18281768,-0.3377999,,0.0021714154
14,463707.43565953296,9241609.911635803,42.0,90.0,48.0,0.5309476,54.0,-0.1257241,0.43528724,0.766513,0.01782523,0.018240882
15,467205.24605871603,9217620.724084102,102.0,282.0,180.0,0.4178578,234.0,0.38276702,0.03321284,0.25908345,0.00023738544,0.0007310578
16,498921.2417437863,9244679.093437327,0.0,78.0,78.0,0.4816151,6.0,-0.1510549,0.31633502,0.23783995,,0.0078034136
17,461639.9675519364,9256592.02926797,102.0,336.0,234.0,0.4873594,210.0,-0.23168002,0.6603646,6.4655175,0.005429041,0.0057066623
18,463965.2467097509,9239352.472076636,30.0,282.0,252.0,0.42483774,42.0,0.22360055,0.136987,1.3510598,0.004015622,0.00061804854
19,456471.7694949021,9251615.784200767,18.0,126.0,108.0,0.5696913,90.0,-0.100410335,0.60246253,3.205143,0.00526206,0.017803134
20,471281.9540284132,9241478.445345815,114.0,306.0,192.0,0.27158573,162.0,0.09888364,0.16595505,1.4990507,0.0025948223,0.0011056112
21,480099.1982158917,9242474.814709818,18.0,282.0,264.0,0.43731314,66.0,0.07000912,0.27713007,3.4000368,0.0038949184,0.001379425
22,465351.86352802615,9220135.072343927,18.0,126.0,108.0,0.36317295,66.0,0.17793393,0.14592068,0.8129096,0.0019320318,0.0030713533
23,474447.08491063735,9235439.42950664,102.0,282.0,180.0,0.36841002,210.0,0.12722187,0.23156765,2.5608697,0.0015288948,0.0030755266
24,452515.9111299196,9243464.806085395,0.0,306.0,306.0,0.19624907,6.0,0.118962355,0.03864336,-0.35911694,,0.00025762236
