point,n_seasons,x,y,mean_peak_NDVI,mean_LOS_days,mean_amplitude
0,2,494225.6593214362,9241670.999743782,0.137,84.0,0.288
2,2,465117.75854116137,9230123.430505203,0.254,126.0,0.219
3,2,459380.00640956056,9243357.550972825,0.406,174.0,0.21650000000000003
4,4,468694.02243723854,9226492.483638326,0.46725,87.0,0.465
5,1,472837.8418035165,9238889.234850043,0.355,120.0,0.244
6,1,484989.4192938779,9234572.458350737,0.436,144.0,0.379
9,1,458665.0974886461,9231806.415939407,0.314,132.0,0.287
10,1,463248.1225192194,9243008.41215943,0.292,156.0,0.196
13,1,455052.89583226095,9244529.368597005,0.265,276.0,0.356
14,3,463707.43565953296,9241609.911635805,0.3986666666666667,48.0,0.434
16,2,498921.2417437863,9244679.093437327,0.33299999999999996,150.0,0.484
17,2,461639.9675519364,9256592.02926797,0.14100000000000001,72.0,0.3725
19,3,456471.7694949021,9251615.784200769,0.48066666666666663,60.0,0.5713333333333334
21,1,480099.1982158917,9242474.814709818,0.437,144.0,0.367
22,1,465351.86352802615,9220135.072343929,0.352,156.0,0.174
23,1,474447.08491063735,9235439.42950664,0.349,108.0,0.222
25,1,462531.16610938805,9242898.160494206,0.327,156.0,0.228
26,4,478402.7748687897,9230143.880556958,0.35275,78.0,0.24925
28,2,476314.8896258004,9227712.690875664,0.4155,126.0,0.3365
29,2,467892.3375974731,9217922.084971571,0.41500000000000004,138.0,0.2885
32,2,486489.4318053801,9239436.338119436,0.404,114.0,0.1765
33,1,457806.0808996355,9249295.270328602,0.367,120.0,0.361
38,2,459945.74270521745,9246726.280926006,0.20650000000000002,168.0,0.1955
42,1,479352.9287121297,9232148.317847133,0.392,132.0,0.241
44,2,491432.4451316046,9242149.290268747,0.391,96.0,0.3655
46,2,461674.38594307785,9219924.824686913,0.27149999999999996,96.0,0.26649999999999996
47,1,459708.35640182823,9229993.107302204,0.387,120.0,0.206
51,1,492877.6308570401,9237296.878424976,0.545,36.0,0.154
53,4,473247.9102632764,9236850.788607806,0.39475,84.0,0.33699999999999997
54,1,474765.8228672643,9240253.178344594,0.319,156.0,0.244
55,3,484378.051596208,9232252.026378073,0.44766666666666666,76.0,0.3686666666666667
56,1,467343.26667809614,9227646.860673668,0.4,144.0,0.257
58,2,468452.7999574412,9246004.412920889,0.3355,90.0,0.184
59,1,491480.23960812954,9234938.214313986,0.352,120.0,0.184
62,1,457714.92837483657,9254004.122692715,0.261,84.0,0.168
63,2,460055.40116591775,9251297.239653142,0.35550000000000004,102.0,0.401
65,2,461923.54818452697,9245129.916387131,0.2575,162.0,0.197
66,2,491699.47179231985,9241880.724191854,0.1835,78.0,0.22949999999999998
68,1,471038.9177007015,9240756.899088582,0.361,132.0,0.165
69,2,483030.323396994,9231951.52069125,0.3755,84.0,0.2465
70,2,469929.8311135617,9223366.933888089,0.38649999999999995,78.0,0.1865
73,1,491893.8667914206,9238022.8815513,0.198,96.0,0.201
76,2,465599.48247414775,9221393.710740786,0.396,84.0,0.27749999999999997
80,2,468989.526088977,9217284.708426733,0.2215,90.0,0.1545
