point,x,y,season,SOS,POS,EOS,SOS_doy,POS_doy,EOS_doy,peak_NDVI,trough_NDVI,amplitude,LOS_days,greenup_days
0,494225.6593214362,9241670.999743782,1,2024-12-13,2025-01-06,2025-03-31,348,6,90,0.143,-0.152,0.294,108,24
0,494225.6593214362,9241670.999743782,2,2025-03-31,2025-05-18,2025-05-30,90,138,150,0.131,-0.09,0.282,60,48
2,465117.75854116137,9230123.430505203,1,2024-11-19,2025-03-19,2025-03-31,324,78,90,0.278,0.087,0.191,132,120
2,465117.75854116137,9230123.430505203,2,2025-03-31,2025-07-17,2025-07-29,90,198,210,0.23,-0.018,0.247,120,108
3,459380.00640956056,9243357.550972825,1,2024-11-07,2025-01-06,2025-03-31,312,6,90,0.433,0.214,0.268,144,60
3,459380.00640956056,9243357.550972825,2,2025-03-31,2025-08-22,2025-10-21,90,234,294,0.379,0.221,0.165,204,144
4,468694.02243723854,9226492.483638326,1,2024-11-07,2025-03-07,2025-03-19,312,66,78,0.457,-0.077,0.535,132,120
4,468694.02243723854,9226492.483638326,2,2025-03-19,2025-05-18,2025-05-30,78,138,150,0.483,0.306,0.561,72,60
4,468694.02243723854,9226492.483638326,3,2025-05-30,2025-07-05,2025-07-17,150,186,198,0.479,0.083,0.396,48,36
4,468694.02243723854,9226492.483638326,4,2025-07-17,2025-09-03,2025-10-21,198,246,294,0.45,0.224,0.368,96,48
5,472837.8418035165,9238889.234850043,1,2024-11-19,2025-02-23,2025-03-19,324,54,78,0.355,0.111,0.244,120,96
6,484989.4192938779,9234572.458350737,1,2024-11-19,2025-03-07,2025-04-12,324,66,102,0.436,0.057,0.379,144,108
9,458665.0974886461,9231806.415939407,1,2024-11-07,2025-02-23,2025-03-19,312,54,78,0.314,0.027,0.287,132,108
10,463248.1225192194,9243008.41215943,1,2024-11-07,2025-03-07,2025-04-12,312,66,102,0.292,0.095,0.196,156,120
13,455052.89583226095,9244529.368597005,1,2024-11-07,2025-02-23,2025-08-10,312,54,222,0.265,-0.091,0.356,276,108
14,463707.43565953296,9241609.911635805,1,2024-11-07,2024-11-07,2024-11-19,312,312,324,0.17,0.01,0.16,12,0
14,463707.43565953296,9241609.911635805,2,2024-11-19,2025-01-30,2025-02-11,324,30,42,0.495,0.317,0.485,84,72
14,463707.43565953296,9241609.911635805,3,2025-02-11,2025-02-23,2025-03-31,42,54,90,0.531,-0.126,0.657,48,12
16,498921.2417437863,9244679.093437327,1,2024-11-19,2025-01-18,2025-03-31,324,18,90,0.419,-0.151,0.57,132,60
16,498921.2417437863,9244679.093437327,2,2025-03-31,2025-08-22,2025-09-15,90,234,258,0.247,0.05,0.398,168,144
17,461639.9675519364,9256592.02926797,1,2024-11-07,2024-11-19,2024-12-01,312,324,336,0.23,-0.232,0.461,24,12
17,461639.9675519364,9256592.02926797,2,2024-12-01,2025-03-07,2025-03-31,336,66,90,0.052,-0.114,0.284,120,96
19,456471.7694949021,9251615.784200769,1,2024-11-07,2024-12-01,2024-12-25,312,336,360,0.313,-0.1,0.414,48,24
19,456471.7694949021,9251615.784200769,2,2024-12-25,2025-02-23,2025-03-19,360,54,78,0.559,0.279,0.659,84,60
19,456471.7694949021,9251615.784200769,3,2025-03-19,2025-03-31,2025-05-06,78,90,126,0.57,-0.071,0.641,48,12
21,480099.1982158917,9242474.814709818,1,2024-11-07,2025-03-07,2025-03-31,312,66,90,0.437,0.18,0.367,144,120
22,465351.86352802615,9220135.072343929,1,2024-12-25,2025-03-19,2025-05-30,360,78,150,0.352,0.178,0.174,156,84
23,474447.08491063735,9235439.42950664,1,2024-11-19,2025-02-23,2025-03-07,324,54,66,0.349,0.127,0.222,108,96
25,462531.16610938805,9242898.160494206,1,2024-11-07,2025-02-23,2025-04-12,312,54,102,0.327,0.099,0.228,156,108
26,478402.7748687897,9230143.880556958,1,2024-11-07,2025-01-06,2025-01-30,312,6,30,0.438,0.119,0.319,84,60
26,478402.7748687897,9230143.880556958,2,2025-01-30,2025-03-07,2025-03-19,30,66,78,0.354,0.167,0.235,48,36
26,478402.7748687897,9230143.880556958,3,2025-03-19,2025-03-31,2025-04-12,78,90,102,0.345,0.089,0.257,24,12
26,478402.7748687897,9230143.880556958,4,2025-04-12,2025-07-17,2025-09-15,102,198,258,0.274,0.108,0.186,156,96
28,476314.8896258004,9227712.690875664,1,2024-11-19,2025-02-23,2025-04-24,324,54,114,0.338,0.172,0.276,156,96
28,476314.8896258004,9227712.690875664,2,2025-04-24,2025-07-05,2025-07-29,114,186,210,0.493,0.096,0.397,96,72
29,467892.3375974731,9217922.084971571,1,2024-12-01,2025-03-07,2025-03-31,336,66,90,0.429,0.127,0.302,120,96
29,467892.3375974731,9217922.084971571,2,2025-03-31,2025-07-29,2025-09-03,90,210,246,0.401,0.2,0.275,156,120
32,486489.4318053801,9239436.338119436,1,2024-12-13,2025-01-18,2025-03-07,348,18,66,0.429,0.228,0.201,84,36
32,486489.4318053801,9239436.338119436,2,2025-03-07,2025-06-11,2025-07-29,66,162,210,0.379,0.227,0.152,144,96
33,457806.0808996355,9249295.270328602,1,2025-01-06,2025-03-19,2025-05-06,6,78,126,0.367,0.048,0.361,120,72
38,459945.74270521745,9246726.280926006,1,2024-11-07,2025-03-31,2025-04-24,312,90,114,0.234,0.073,0.221,168,144
38,459945.74270521745,9246726.280926006,2,2025-04-24,2025-09-27,2025-10-09,114,270,282,0.179,0.009,0.17,168,156
42,479352.9287121297,9232148.317847133,1,2024-11-07,2025-01-06,2025-03-19,312,6,78,0.392,0.151,0.241,132,60
44,491432.4451316046,9242149.290268747,1,2024-11-19,2025-01-18,2025-03-31,324,18,90,0.416,0.029,0.387,132,60
