ndvi_d,slope_d,vh_d,n_seasons,days_to_POS,days_from_SOS,rel_pos,in_season,amplitude,peak_ndvi,los,lokasi,region,fase,sumber
0.3940388831255772,-0.009549712992656912,-15.724999904632568,2,-45.0,75.0,0.4807692307692308,1,0.169,0.201,156.0,,Indramayu,2,Drone (50x50)
0.18104812291878716,-0.0010149469661734668,-22.414999961853027,1,34.0,46.0,0.7666666666666667,1,0.144,0.289,60.0,,Karawang,6,Drone (50x50)
0.09346905564083063,0.013456894944840996,-19.47749900817871,3,51.0,75.0,1.25,0,0.286,0.268,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.0624132218382025,0.011825913541776487,-20.247499465942383,4,51.0,75.0,1.25,0,0.45,0.433,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.05988476895016076,0.011146275985048726,-20.50999927520752,4,63.0,75.0,2.0833333333333335,0,0.26,0.227,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.06796005791640179,0.009180509494966849,-20.65499973297119,3,-45.0,3.0,0.03571428571428571,1,0.52,0.539,84.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.07796159215909335,0.01171470550125285,-20.247499465942383,4,51.0,75.0,1.25,0,0.45,0.433,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.2480098480244644,0.010632979425934082,-19.91499900817871,3,51.0,75.0,2.0833333333333335,0,0.259,0.341,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.06632047041118125,0.01234052459911488,-22.054998874664307,3,51.0,75.0,2.0833333333333335,0,0.265,0.221,36.0,21_Sumurgede,Karawang,2,Drone (rice field)
0.08084353397931959,0.017453859295873758,-20.067500114440918,4,51.0,75.0,1.25,0,0.568,0.495,60.0,21_Sumurgede,Karawang,2,Drone (50x50)
0.08258903683559572,0.017219452410967426,-20.067500114440918,4,51.0,75.0,1.25,0,0.568,0.495,60.0,21_Sumurgede,Karawang,2,Drone (rice field)
