fase,region,lokasi,sumber,bujur,lintang
6,Karawang,,Drone (50x50),107.431722,-6.201472
2,Indramayu,,Drone (50x50),107.603056,-6.233611
2,Karawang,21_Sumurgede,Drone (rice field),107.495731,-6.193892
2,Karawang,21_Sumurgede,Drone (rice field),107.495929,-6.194262
2,Karawang,21_Sumurgede,Drone (rice field),107.495711,-6.192791
2,Karawang,21_Sumurgede,Drone (rice field),107.495887,-6.194714
2,Karawang,21_Sumurgede,Drone (rice field),107.49588,-6.194054
2,Karawang,21_Sumurgede,Drone (rice field),107.494851,-6.194086
2,Karawang,21_Sumurgede,Drone (rice field),107.494001,-6.192725
2,Karawang,21_Sumurgede,Drone (50x50),107.495599,-6.194782
2,Karawang,21_Sumurgede,Drone (rice field),107.495597,-6.194742
2,Karawang,21_Sumurgede,Drone (rice field),107.494969,-6.193085
2,Karawang,21_Sumurgede,Drone (rice field),107.494503,-6.192684
2,Karawang,21_Sumurgede,Drone (rice field),107.495421,-6.193529
2,Karawang,21_Sumurgede,Drone (50x50),107.495141,-6.193428
2,Karawang,21_Sumurgede,Drone (rice field),107.495596,-6.193693
2,Karawang,21_Sumurgede,Drone (50x50),107.493337,-6.193888
2,Karawang,21_Sumurgede,Drone (rice field),107.493446,-6.194191
2,Karawang,21_Sumurgede,Drone (50x50),107.495556,-6.193333
2,Karawang,21_Sumurgede,Drone (50x50),107.494685,-6.192526
2,Karawang,21_Sumurgede,Drone (rice field),107.494101,-6.194501
2,Karawang,21_Sumurgede,Drone (rice field),107.493391,-6.194769
2,Karawang,21_Sumurgede,Drone (rice field),107.494635,-6.193883
2,Karawang,21_Sumurgede,Drone (rice field),107.494454,-6.193193
2,Karawang,21_Sumurgede,Drone (rice field),107.495774,-6.194897
2,Karawang,21_Sumurgede,Drone (50x50),107.494234,-6.192529
2,Karawang,21_Sumurgede,Drone (rice field),107.495966,-6.192851
2,Karawang,21_Sumurgede,Drone (50x50),107.495593,-6.193426
2,Karawang,21_Sumurgede,Drone (rice field),107.493483,-6.194937
2,Karawang,21_Sumurgede,Drone (rice field),107.493616,-6.194008
2,Karawang,21_Sumurgede,Drone (rice field),107.494198,-6.192569
2,Karawang,21_Sumurgede,Drone (rice field),107.495804,-6.194499
2,Karawang,21_Sumurgede,Drone (rice field),107.495198,-6.193318
2,Karawang,21_Sumurgede,Drone (50x50),107.493341,-6.194792
2,Karawang,21_Sumurgede,Drone (50x50),107.495143,-6.19388
2,Karawang,21_Sumurgede,Drone (rice field),107.495105,-6.193827
2,Karawang,21_Sumurgede,Drone (rice field),107.495034,-6.19426
2,Karawang,21_Sumurgede,Drone (50x50),107.495591,-6.192974
2,Karawang,21_Sumurgede,Drone (50x50),107.495145,-6.194332
2,Karawang,21_Sumurgede,Drone (rice field),107.495025,-6.192641
2,Karawang,21_Sumurgede,Drone (50x50),107.493791,-6.194338
2,Karawang,21_Sumurgede,Drone (rice field),107.494411,-6.193662
2,Karawang,21_Sumurgede,Drone (rice field),107.494752,-6.192894
2,Karawang,21_Sumurgede,Drone (rice field),107.495931,-6.19367
2,Karawang,21_Sumurgede,Drone (rice field),107.49527,-6.192524
2,Karawang,21_Sumurgede,Drone (50x50),107.495139,-6.192976
2,Karawang,21_Sumurgede,Drone (50x50),107.495597,-6.19433
2,Karawang,21_Sumurgede,Drone (rice field),107.495632,-6.19433
2,Karawang,21_Sumurgede,Drone (rice field),107.493328,-6.193991
2,Karawang,21_Sumurgede,Drone (50x50),107.493785,-6.192983
2,Karawang,21_Sumurgede,Drone (rice field),107.493841,-6.192933
2,Karawang,21_Sumurgede,Drone (50x50),107.493787,-6.193434
2,Karawang,21_Sumurgede,Drone (50x50),107.493335,-6.193437
2,Karawang,21_Sumurgede,Drone (rice field),107.495461,-6.194166
2,Karawang,21_Sumurgede,Drone (rice field),107.494785,-6.192546
2,Karawang,21_Sumurgede,Drone (rice field),107.494886,-6.19362
2,Karawang,21_Sumurgede,Drone (50x50),107.494236,-6.19298
2,Karawang,21_Sumurgede,Drone (rice field),107.49423,-6.192971
2,Karawang,21_Sumurgede,Drone (rice field),107.493275,-6.194223
2,Karawang,21_Sumurgede,Drone (rice field),107.49578,-6.193162
2,Karawang,21_Sumurgede,Drone (rice field),107.495236,-6.192815
2,Karawang,21_Sumurgede,Drone (50x50),107.495595,-6.193878
2,Karawang,21_Sumurgede,Drone (50x50),107.495137,-6.192524
2,Karawang,21_Sumurgede,Drone (rice field),107.495289,-6.194003
2,Karawang,21_Sumurgede,Drone (50x50),107.495588,-6.192522
2,Karawang,21_Sumurgede,Drone (50x50),107.494692,-6.193882
2,Karawang,21_Sumurgede,Drone (rice field),107.493886,-6.193347
2,Karawang,21_Sumurgede,Drone (50x50),107.49469,-6.19343
2,Karawang,21_Sumurgede,Drone (rice field),107.494677,-6.193389
2,Karawang,21_Sumurgede,Drone (rice field),107.493853,-6.194246
2,Karawang,21_Sumurgede,Drone (50x50),107.494688,-6.192978
2,Karawang,21_Sumurgede,Drone (50x50),107.493333,-6.192985
2,Karawang,21_Sumurgede,Drone (rice field),107.495887,-6.193383
2,Karawang,21_Sumurgede,Drone (rice field),107.493584,-6.195046
2,Karawang,21_Sumurgede,Drone (rice field),107.49413,-6.193912
2,Karawang,21_Sumurgede,Drone (50x50),107.494169,-6.194689
2,Karawang,21_Sumurgede,Drone (rice field),107.493328,-6.193596
2,Karawang,21_Sumurgede,Drone (50x50),107.493339,-6.19434
