fase,region,lokasi,sumber,pred3_ridge,pred3_lgbm
6,Karawang,,Drone (50x50),bare,bare
2,Indramayu,,Drone (50x50),generative,generative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),bare,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),generative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),generative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),bare,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),generative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),bare,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),bare,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),bare,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),bare,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),generative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),bare,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),bare,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
2,Karawang,21_Sumurgede,Drone (50x50),bare,vegetative
2,Karawang,21_Sumurgede,Drone (rice field),vegetative,vegetative
3,Cirebon,20_Kroya1,Drone (rice field),generative,generative
3,Cirebon,20_Kroya1,Drone (rice field),generative,generative
3,Cirebon,20_Kroya1,Drone (rice field),generative,generative
4,Cirebon,20_Kroya1,Drone (rice field),generative,generative
4,Cirebon,20_Kroya1,Drone (rice field),bare,bare
3,Cirebon,20_Kroya1,Drone (rice field),generative,generative
3,Cirebon,20_Kroya1,Drone (rice field),generative,generative
3,Cirebon,20_Kroya1,Drone (rice field),generative,generative
3,Cirebon,20_Kroya1,Drone (rice field),generative,generative
4,Cirebon,20_Kroya1,Drone (rice field),generative,generative
3,Cirebon,20_Kroya1,Drone (rice field),generative,generative
3,Cirebon,20_Kroya1,Drone (rice field),generative,generative
3,Cirebon,20_Kroya1,Drone (rice field),generative,generative
3,Cirebon,20_Kroya1,Drone (rice field),generative,generative
3,Cirebon,20_Kroya1,Drone (rice field),generative,generative
3,Cirebon,20_Kroya1,Drone (rice field),generative,generative
4,Cirebon,20_Kroya1,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),bare,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),bare,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),bare,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18 Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),vegetative,vegetative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),bare,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),bare,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18 Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),bare,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Indramayu,18_Kiarasari,Drone (rice field),generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,vegetative
3,Karawang,5_Rengasdengklok04,Field Survey,vegetative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
2,Karawang,,Drone (50x50),vegetative,vegetative
2,Karawang,,Drone (rice field),vegetative,vegetative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Drone (50x50),generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Drone (50x50),generative,vegetative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Drone (50x50),generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5 Rengasdengklok4,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
3,Karawang,5_Rengasdengklok04,Field Survey,vegetative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Drone (50x50),generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
3,Karawang,5_Rengasdengklok04,Field Survey,vegetative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Drone (50x50),generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
6,Karawang,,Drone (50x50),bare,bare
6,Karawang,,Drone (rice field),bare,bare
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,vegetative
4,Karawang,5_Rengasdengklok04,Field Survey,generative,generative
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (50x50),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (50x50),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (50x50),bare,bare
1,Karawang,17_Rawamerta,Drone (50x50),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
5,Karawang,20_Sindangkerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
6,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (50x50),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
6,Karawang,20_Sindangkerta,Drone (50x50),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (50x50),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (50x50),bare,bare
1,Karawang,17_Rawamerta,Drone (50x50),bare,bare
6,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
6,Karawang,20_Sindangkerta,Drone (rice field),generative,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
6,Karawang,20_Sindangkerta,Drone (50x50),generative,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (50x50),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
6,Karawang,20_Sindangkerta,Drone (50x50),generative,generative
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (rice field),bare,bare
1,Karawang,17_Rawamerta,Drone (50x50),bare,bare
